sku_internal_id,erp_code,product_name,cdKey,cdMiraGapRaw,cdTermDisplay,xLojas,rawSum,productionTotal,minFinalCd,p150TodayCd,dispTodayCd,error
3533,12631,TOALHA DE BANHO FLORATA 0.74X1.30,Fábrica,1,1,8,9,9,1,1,0,
3534,12641,TOALHA DE BANHO UNIQUE 0.70X1.35 ARDOSIA,Fábrica,1,1,8,9,9,1,1,0,
3535,12639,TOALHA DE BANHO UNIQUE 0.70X1.35 CARMIN,Fábrica,1,1,8,9,9,1,1,0,
3536,12640,TOALHA DE BANHO UNIQUE 0.70X1.35 HEAVEN,Fábrica,1,1,8,9,9,1,1,0,
3537,12642,TOALHA DE BANHO UNIQUE 0.70X1.35 MANJERICÌO,Fábrica,1,1,8,9,9,1,1,0,
3538,12635,TOALHA DE BANHO YASMIN 0.70X1.35 BRANCO,Fábrica,1,1,8,9,9,1,1,0,
3539,12634,TOALHA DE BANHO YASMIN 0.70X1.35 CARVALHO,Fábrica,1,1,8,9,9,1,1,0,
3540,12633,TOALHA DE BANHO YASMIN 0.70X1.35 QUARTZO,Fábrica,1,1,8,9,9,1,1,0,
3541,12632,TOALHA DE ROSTO FLORATA 0.45X0.70,Fábrica,1,1,8,9,9,1,1,0,
3542,12644,TOALHA DE ROSTO UNIQUE 0.45X0.70 ARDOSIA,Fábrica,1,1,8,9,9,1,1,0,
3543,12643,TOALHA DE ROSTO UNIQUE 0.45X0.70 HEAVEN,Fábrica,1,1,8,9,9,1,1,0,
3544,12645,TOALHA DE ROSTO UNIQUE 0.45X0.70 MANJERICAO,Fábrica,1,1,8,9,9,1,1,0,
3545,12637,TOALHA DE ROSTO YASMIN 0.45X0.70 BRANCO,Fábrica,1,1,8,9,9,1,1,0,
3546,12636,TOALHA DE ROSTO YASMIN 0.45X0.70 CARVALHO,Fábrica,1,1,8,9,9,1,1,0,
3547,12638,TOALHA DE ROSTO YASMIN 0.45X0.70 QUARTZO,Fábrica,1,1,8,9,9,1,1,0,
3548,12649,ALMOFADA PORTOBELLO 0.50X0.50,Fábrica,1,1,8,9,9,1,1,0,
3549,12651,CORTINA LUX UNICA CTL LISO CRU 2.60X2.60,Fábrica,1,1,8,9,9,1,1,0,
3550,12652,"MANTA SOFA RANER LISTRADO PRATA 1,45X1,45",Fábrica,1,1,8,9,9,1,1,0,
3551,12653,CORTINA LINHO ALBA PRATA C/ CORTA LUZ 70% 4.00X2.60,Fábrica,1,1,0,1,1,1,1,0,
3552,72024,Produto teste,Fábrica,1,1,1,2,2,1,1,0,
3553,12174,BAINHA CORTINA UNICA DO CLIENTE (MT NA BARRA DA CORTINA),Fábrica,1,1,8,9,9,1,1,0,
3554,12656,BAINHA CORTINA C\ FORRO DO CLIENTE (MT NA BARRA DA CORTINA),Fábrica,1,1,1,2,2,1,1,0,
3555,12657,BAINHA CORTINA UNICA DA LOJA (MT NA BARRA DA CORTINA),Fábrica,1,1,3,4,4,1,1,0,
3556,12658,BAINHA CORTINA C\ FORRO DA LOJA (MT NA BARRA DA CORTINA),Fábrica,1,1,5,6,6,1,1,0,
3557,12173,BAINHA EM CORTINA PADRAO S/ FORRO MT TECIDO,Fábrica,1,1,4,5,5,1,1,0,
3558,12659,CONFECAO CORTINA TECIDO DO CLIENTE SEM FORRO (MT),Fábrica,1,1,2,3,3,1,1,0,
3559,12660,CONFECAO CORTINA TECIDO DO CLIENTE FORRADA (MT),Fábrica,1,1,2,3,3,1,1,0,
3560,12664,REFAZER CABEA CORTINA SEM FORRO (MT),Fábrica,1,1,1,2,2,1,1,0,
3561,12665,REFAZER CABEA CORTINA COMFORRO (MT),Fábrica,1,1,2,3,3,1,1,0,
3562,12661,TROCAR ILHOS CORTINA PADRAO (UNIDADE DE ILHOS),Fábrica,1,1,0,1,1,1,1,0,
3563,12662,TROCAR RODIZIO CORTINA EFEITO ILHOS (COM FORRO E SEM FORRO) MT,Fábrica,1,1,3,4,4,1,1,0,
3564,12663,TROCAR RODIZIO CORTINA DE PREGA (COM FORRO E SEM FORRO) MT,Fábrica,1,1,1,2,2,1,1,0,
3565,12666,CORTINA FLAME VERMELHO 2.60X2.60,Fábrica,1,1,5,6,6,1,1,0,
3566,12667,CORTINA FLAME VERMELHO 4.00X2.60,Fábrica,1,1,7,8,8,1,1,0,
3567,12669,CORTINA OXFORD LISO VERMELHO 2.60X2.60,Fábrica,1,1,2,3,3,1,1,0,
3568,12668,CORTINA OXFORD LISO VINHO 4.00X2.60,Fábrica,1,1,6,7,7,1,1,0,
