sku_internal_id,erp_code,product_name,store,is_factory_or_cd,disponivel,fisico,vitrine,min_stock,alvo_p150,sugestao_unidades,ruptura_pct,unidades_perdidas_estimadas,prioridade,acao_sugerida,data_file
3039,12104,"DUPLEX 4,00X2,60 VOIL PAMPLONA PEROLA",Venda Nova,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3039.js
3039,12104,"DUPLEX 4,00X2,60 VOIL PAMPLONA PEROLA",Betim,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3039.js
3039,12104,"DUPLEX 4,00X2,60 VOIL PAMPLONA PEROLA",Guaranis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3039.js
3039,12104,"DUPLEX 4,00X2,60 VOIL PAMPLONA PEROLA",Babita,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3039.js
3039,12104,"DUPLEX 4,00X2,60 VOIL PAMPLONA PEROLA",Fábrica,true,1,1,0,,3,2,0,0,EQUILIBRADO,Repor +2 u (vs. alvo P150),sku_3039.js
3040,12107,"CORTA LUZ 2,60X1,80 SANJAN EST, ROSE",Venda Nova,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3040.js
3040,12107,"CORTA LUZ 2,60X1,80 SANJAN EST, ROSE",Tupis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3040.js
3040,12107,"CORTA LUZ 2,60X1,80 SANJAN EST, ROSE",G2,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3040.js
3040,12107,"CORTA LUZ 2,60X1,80 SANJAN EST, ROSE",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3040.js
3041,12108,"CORTA LUZ 4,00X2,60 SANJAN EST, ROSE",Babita,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3041.js
3041,12108,"CORTA LUZ 4,00X2,60 SANJAN EST, ROSE",Venda Nova,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3041.js
