sku_internal_id,erp_code,product_name,store,demand,baseRep,minFinal,p150Today,dispToday,curveClass,ltDaysOperational,error
1886,K952,PERSIANA 1.60X1.80 PVC TEXTURIZADA 952,G2,1,1,1,1,0,C,16,
1886,K952,PERSIANA 1.60X1.80 PVC TEXTURIZADA 952,Betim,1,1,1,1,0,C,16,
1886,K952,PERSIANA 1.60X1.80 PVC TEXTURIZADA 952,Guaranis,1,1,1,1,0,C,16,
1887,K953,PERSIANA 1.60X1.80 PVC TEXTURIZADA 953,Barreiro,1,0,1,1,3,C,16,
1887,K953,PERSIANA 1.60X1.80 PVC TEXTURIZADA 953,Venda Nova,1,0,1,1,1,C,16,
1887,K953,PERSIANA 1.60X1.80 PVC TEXTURIZADA 953,Betim,1,1,1,1,0,C,16,
1887,K953,PERSIANA 1.60X1.80 PVC TEXTURIZADA 953,Babita,1,1,1,1,0,C,16,
1887,K953,PERSIANA 1.60X1.80 PVC TEXTURIZADA 953,G2,1,1,1,1,0,C,16,
1887,K953,PERSIANA 1.60X1.80 PVC TEXTURIZADA 953,Tupis,1,1,1,1,0,C,16,
1887,K953,PERSIANA 1.60X1.80 PVC TEXTURIZADA 953,Eldorado 2,1,0,1,1,1,C,16,
1887,K953,PERSIANA 1.60X1.80 PVC TEXTURIZADA 953,Guaranis,1,1,1,1,0,C,16,
1888,K954,PERSIANA 1.60X1.80 PVC TEXTURIZADA 954,G2,1,1,1,1,0,C,16,
1888,K954,PERSIANA 1.60X1.80 PVC TEXTURIZADA 954,Babita,1,1,1,1,0,C,16,
1888,K954,PERSIANA 1.60X1.80 PVC TEXTURIZADA 954,Guaranis,1,1,1,1,0,C,16,
1888,K954,PERSIANA 1.60X1.80 PVC TEXTURIZADA 954,Betim,1,1,1,1,0,C,16,
1888,K954,PERSIANA 1.60X1.80 PVC TEXTURIZADA 954,Barreiro,1,0,1,1,5,C,16,
1888,K954,PERSIANA 1.60X1.80 PVC TEXTURIZADA 954,Tupis,1,0,1,1,1,C,16,
1888,K954,PERSIANA 1.60X1.80 PVC TEXTURIZADA 954,Venda Nova,1,0,1,1,3,C,16,
1889,K957,PERSIANA 1.60X1.80 PVC TEXTURIZADA 957,G2,1,1,1,1,0,C,16,
1889,K957,PERSIANA 1.60X1.80 PVC TEXTURIZADA 957,Barreiro,1,0,1,1,5,C,16,
1889,K957,PERSIANA 1.60X1.80 PVC TEXTURIZADA 957,Venda Nova,1,0,1,1,4,C,16,
1889,K957,PERSIANA 1.60X1.80 PVC TEXTURIZADA 957,Tupis,1,1,1,1,0,C,16,
1889,K957,PERSIANA 1.60X1.80 PVC TEXTURIZADA 957,Babita,1,1,1,1,0,C,16,
1889,K957,PERSIANA 1.60X1.80 PVC TEXTURIZADA 957,Betim,1,0,1,1,4,C,16,
1889,K957,PERSIANA 1.60X1.80 PVC TEXTURIZADA 957,Eldorado 2,1,1,1,1,0,C,16,
1890,K983,PERSIANA 1.60X1.80 PVC TEXTURIZADA 983,Babita,1,1,1,1,0,C,16,
1890,K983,PERSIANA 1.60X1.80 PVC TEXTURIZADA 983,Venda Nova,1,0,1,1,1,C,16,
1890,K983,PERSIANA 1.60X1.80 PVC TEXTURIZADA 983,Barreiro,1,1,1,1,0,C,16,
1890,K983,PERSIANA 1.60X1.80 PVC TEXTURIZADA 983,Eldorado 2,1,0,1,1,1,C,16,
1890,K983,PERSIANA 1.60X1.80 PVC TEXTURIZADA 983,Tupis,1,1,1,1,0,C,16,
1890,K983,PERSIANA 1.60X1.80 PVC TEXTURIZADA 983,G2,1,0,1,1,1,C,16,
1891,K984,PERSIANA 1.60X1.80 PVC TEXTURIZADA 984,Venda Nova,1,1,1,1,0,C,16,
1892,K986,PERSIANA 1.60X1.80 PVC TEXTURIZADA 986,Betim,1,1,1,1,0,C,16,
1892,K986,PERSIANA 1.60X1.80 PVC TEXTURIZADA 986,Venda Nova,1,1,1,1,0,C,16,
1892,K986,PERSIANA 1.60X1.80 PVC TEXTURIZADA 986,G2,1,1,1,1,0,C,16,
1893,K987,PERSIANA 1.60X1.80 PVC TEXTURIZADA 987,Barreiro,1,1,1,1,0,C,16,
1894,K988,PERSIANA 1.60X1.80 PVC TEXTURIZADA 988,Babita,1,1,1,1,0,C,16,
1894,K988,PERSIANA 1.60X1.80 PVC TEXTURIZADA 988,Barreiro,1,1,1,1,0,C,16,
1894,K988,PERSIANA 1.60X1.80 PVC TEXTURIZADA 988,Betim,1,0,1,1,1,C,16,
1895,K989,PERSIANA 1.60X1.80 PVC TEXTURIZADA 989,Venda Nova,1,1,1,1,0,C,16,
1896,K990,PERSIANA 1.60X1.80 PVC TEXTURIZADA 990,Barreiro,1,0,1,1,1,C,16,
1896,K990,PERSIANA 1.60X1.80 PVC TEXTURIZADA 990,Betim,1,0,1,1,2,C,16,
1896,K990,PERSIANA 1.60X1.80 PVC TEXTURIZADA 990,Eldorado 2,1,0,1,1,1,C,16,
1896,K990,PERSIANA 1.60X1.80 PVC TEXTURIZADA 990,Venda Nova,1,0,1,1,1,C,16,
1897,K992,PERSIANA 1.60X1.80 PVC TEXTURIZADA 992,Babita,1,1,1,1,0,C,16,
1897,K992,PERSIANA 1.60X1.80 PVC TEXTURIZADA 992,G2,1,1,1,1,0,C,16,
1897,K992,PERSIANA 1.60X1.80 PVC TEXTURIZADA 992,Tupis,1,1,1,1,0,C,16,
